ReviewId,RecipeId,AuthorId,AuthorName,Review,DateSubmitted,DateModified
170,607,3731,Wei-Li Eastlake,"The French Onion soup recipe is one of the most popular dish served at the Famous Barr (also part of the May Dept store group) restaurants found in St.Louis.   Based on my travels to the various countries including Europe, Asia and US, this version of French Onion soup is one of the best I've had. My husband who is from London just loves this recipe.

It is robust and hearty in beef and onion flavour and quite thick so you can enjoy this as a meal in itself (you might say it's great comfort food).  Be sure to use the broiler until the cheese bubbles and turns golden brown over the French bread. Tip: Try to use the fresh French bread which is a bit chewy in texture.    

Bon Appetit.",12/04/2000 17:05:09,12/04/2000 17:05:09
173,246,3385,Fauna,This taste great!!!!!! Even my 3yr. old loved it,12/05/2000 20:03:45,12/05/2000 20:03:45
190,552,3894,Kathy Brown,Very unique & since garlic is my favorite ingredient...i love it!,12/12/2000 01:19:00,12/12/2000 01:19:00
196,2086,3908,Jodi Chisolm,I heard about this fudge this morning..looked up the recipe and made it..it is great..so easy and the best fudge I've ever eaten.,12/13/2000 15:13:29,12/13/2000 15:13:29
199,1978,3937,Donna Tomko,"I loved this recipe, very tasty and makes a great appy, i will be making it for my new years party.",12/14/2000 22:15:19,12/14/2000 22:15:19
202,191,3794,Sally Wolfe,"BOY!  You sure can't eat just one of these muffins at a time. They were really great and easy to make. I even made a terrible mistake, I forgot to put the brown sugar in. The next two batches I make I will do right. I didn't think something with green chili in would taste good. Was I surprised.",12/15/2000 17:04:54,12/15/2000 17:04:54
205,2086,3981,Beverly Bunger,"I have made this recipe for the last 6-7yrs. at Christmas.  I usually don't like fudge, but this is GREAT.  I give it as gifts and everyone always asks for the recipe.",12/18/2000 17:06:29,12/18/2000 17:06:29
207,249,3810,Laura1,"These were incredibly easy and fast to make.  They stored well in the refrigerator...I brought them to my organization's holiday potluck on a nice paper plate.  They all went quickly, so there was no cleanup or any leftovers to take back home.  PS--my coworkers liked them!",12/18/2000 17:07:11,12/18/2000 17:07:11
216,2086,4046,Jill Thomason,This recipe is so versatile!  I've made it minty with flavoring. I've used nuts and marshmellows for a rocky road fudge.,12/20/2000 15:13:38,12/20/2000 15:13:38
223,607,4150,Dean J Owens,Absolutely Delightful Recipe! Rich and Flavorful!,12/25/2000 21:13:18,12/25/2000 21:13:18
227,809,4177,Fran Kelly,"While on my first visit to Ireland in July 1999, the birthplace of parents, my cousin and I stopped in Doolen near the Cliffs of Mohr and had this marvelous dark Irish Beef Stew cooked in Guinness Stout""  at O'Connors Pub.  It was absolutely delicous and the first authentic Irish meal we had and while all the food was great there was nothing that could beat the Irish Stew.  When I found the recipe on this site, I immediately tried it and it is exactly like what we had in Ireland.  When my cousin came to dinner and I served it, he was sure I had gotten the recipe from O'Connors Pub while we were in Ireland.  It was a cinch to make, directions were very easy to follow and it practically cooks itself.  It is equally as good over mashed potatoes or rice.  Try it, you'll like it. The one ingredient I added was a ""wee bit of blarney""",12/27/2000 19:38:08,12/27/2000 19:38:08
228,665,4174,Amy Hahn,"The potatoes turned a very unappealing shade of gray.  Although they tasted ok once you got past the looks, my kids wouldn't eat them.",12/27/2000 19:38:32,12/27/2000 19:38:32
232,211,4148,Sandra Jones,"What a joy finding this recipe. I didn't want just another cranberry recipe.  I rate this recipe a solid 5 because:  Ease of finding the products to make it, minimal preparation time and the final results of all who enjoyed it : )
I utilized fresh cranberries, red seedless grapes, and braeburn apples with fresh made whipped cream (i chopped fresh pecans on the side for those who would like to add some to their serving).  This dish was smashing with prime rib.  Joyeux Noel.....Sandra",12/27/2000 19:39:47,12/27/2000 19:39:47
234,480,4036,Gary W G,very good!!!,12/27/2000 19:40:38,12/27/2000 19:40:38
243,810,2312,Gay Gilmore,"Good, but I wished they were a bit more moist.",01/02/2001 22:15:26,01/02/2001 22:15:26
244,1887,3506,Barbara Thomas,"This is really good for a little something different.  Also, you may want to vary the mayonnaise by adding cream cheese, a few chives, garlic powder and maybe a few other spices occasionally.  But it is really fine just ""as is.""  I really enjoyed this.  Thanks!",01/02/2001 22:15:46,01/02/2001 22:15:46
247,585,4262,Gordon Chivers,"This was an easy recipe to make.
I used olive oil instead of drippings Health reason only)
The seasonings were quarter teaspoon cummin,pinch dried thyme.
 It has an acceptable taste",01/02/2001 22:17:20,01/02/2001 22:17:20
250,992,4242,marie m,"my family loved these.  fresher than any boughten poppers.  take some preparation time, but are well worth it.",01/02/2001 22:19:29,01/02/2001 22:19:29
251,397,1566,Stephen Little,Try dipping or coating one side with some good chocolate... even better!!!,01/02/2001 22:30:30,01/02/2001 22:30:30
261,217,4329,melanie mcgackin,"AN extremely fast and easy to follow recipe! Though I did not add in the raisins or brandy, I substituted drained crushed pineapple instead, turned out great. We served the dip with pineapple chunks and poundcake. Add in extra chocolate chips for sweetness!",01/05/2001 22:03:24,01/05/2001 22:03:24
275,607,4411,Linda Stumpf,"Aren't there 6 or seven stars to choose from.  WOW!  I was so excited to see this recipe.  I absolutely loved this soup when my husband and I would go to Famous Barr 30 years, when he was in the seminary at Concordia St. Louis.  I have made it through the years, because an aunt had sent me the recipe from her local Springfield, IL newspaper about 20 years.  Once I lost it, but a friend retrieved it for me from the time she had asked me for it.  What I love about your site is the instant way to double or triple or whatever the recipe!  I make this recipe a number of times each year, but I always make it for a big Christmas Party we have.  Everyone loves it and looks forward to it each year!  Thanks so much!  I always serve it with homemade bread and a Ceasar Salad.  I look forward to your newsletters.",01/08/2001 16:47:48,01/08/2001 16:47:48
276,175,4408,Josh Drinkwater,"I haven't tried it yet, but when I do I will use cherry cola",01/08/2001 16:49:04,01/08/2001 16:49:04
279,640,4384,Linata Charles,Another great way to make this recipe is to put all the ingredients inside the flattened biscuit and then deep fry them this is a real pleaser any time in my house. This recipe is very easy and fun to make I hope to find some more fun recioes soon!,01/08/2001 17:13:27,01/08/2001 17:13:27
281,930,4374,dana graves,Very simple to make. there were no strange ingredents or a big mess. taste justlike my moms. very down home,01/08/2001 17:52:16,01/08/2001 17:52:16
285,601,4433,Ruby Parks,"Made it for daughter's wedding, a GREAT hit!!",01/10/2001 20:50:42,01/10/2001 20:50:42
286,300,4442,Daphne Cannon,"I made this dessert for a formal English Christmas dinner.  I did receive nothing but raves!  It was delicious and beautiful. As a matter of fact, a friend told me it was better than her friend's, who happens to be English.  I especially liked it because it did not call for a pudding mix, but rather a custard from scratch, which was as easy to make as from a box. It was not difficult to make at all.  I also added frozen berries as well as the strawberries, which seemed to only enhance the flavors.",01/10/2001 20:51:30,01/10/2001 20:51:30
288,545,4268,Cherie Plaisted,Outstanding,01/16/2001 17:26:42,01/16/2001 17:26:42
291,851,4814,Judith Austin,"Ilove this recipe ,it is so easy when you have kids. Just mix and serve.",01/16/2001 16:52:41,01/16/2001 16:52:41
303,481,4524,andy bryan,It was a great dish my family loved it I couldn't make as much as I wanted to but I got it finished,01/16/2001 17:07:33,01/16/2001 17:07:33
307,671,4828,Gail P Smith,"I finally found the recipe for ""Chow Chow Pickles"".
This is an old fashioned southern recipe and the only ingredient missing are peppers. Thank you so much as I have searched the Internet in every Search Engine and nobody had this recipe. (Although I did not look for ""Cucumber Relish"")",01/16/2001 17:11:19,01/16/2001 17:11:19
309,591,4525,ian hodgson,"very healthy scone  great web site thank you i, i  have 2 tennage girls so they are into recipes ok thanks once a gain",01/16/2001 17:13:22,01/16/2001 17:13:22
310,780,5012,Larry Anderson,Very good but not a 5 star,01/16/2001 17:17:36,01/16/2001 17:17:36
311,552,4954,Roland J. Darby Sr.,Very good receipe. The taste is great!,01/16/2001 17:17:56,01/16/2001 17:17:56
312,542,5028,Bill Marin,"Hello, 
My wife makes a version of this, only using the whole chicken breast. Another idea- you can use crushed Ritz type crackers and grated parmesean cheese combined to get the same result.",01/16/2001 17:18:20,01/16/2001 17:18:20
318,198,5067,Lowel Goss,Great recipe for anyone who like it as close as it come to the real thing! Very simple to make and you can find all the ingredents in your local supermarket! I myself would cut back on the white pepper and add a little bit of hot oil (not to much)! I would also add about 1 1/2 tbls more of vineger. (or to taste) add a little more meat and you can serve with a bowl of white rice with steamed veggies for a meal of its own.,01/16/2001 17:21:50,01/16/2001 17:21:50
332,350,2695,Hungarian Gypsy,This recipe needs a little help !,01/19/2001 22:38:34,01/19/2001 22:38:34
345,1857,5285,Michael Dahlquist,"It's between three and four stars, really. Easy to make and good tastin'. It's stick-to-your-ribs stuff, it's like chicken paella, and that's pretty good. I am glad I made it, I will make it again, it will be my lunch for the next three weeks.",01/22/2001 20:01:30,01/22/2001 20:01:30
352,198,5227,rhonda lambert,my family like the bamboo shoots whole. but we love your recipe,01/23/2001 16:31:57,01/23/2001 16:31:57
353,1387,5227,rhonda lambert,the lemon rind made it tastier. great recipe,01/23/2001 16:32:35,01/23/2001 16:32:35
371,144,5471,Olivia Cato,"It was pretty good, but then again I was really hungry.  Needs more chicken and more cheese.",01/29/2001 21:34:33,01/29/2001 21:34:33
374,1559,5049,Cynthia Caffey Schw,This is easy and very good.  Our family loved it.,01/29/2001 21:55:11,01/29/2001 21:55:11
376,190,1773,Malarkey Test,this was okay.  too greasy for my tastes.,01/29/2001 21:55:46,01/29/2001 21:55:46
378,1627,5446,Fedelma Dixon,"No vanilla?  No butter?  Wasn't sure what to do about that, but the pie is good.",01/29/2001 21:56:41,01/29/2001 21:56:41
379,531,3856,jonathan armytage,average taste. Not particularly subtle,01/29/2001 21:57:26,01/29/2001 21:57:26
389,649,1773,Malarkey Test,interesting. i added celery and some cilantro.  i think i made it a bit too hot though.,02/02/2001 00:30:59,02/02/2001 00:30:59
391,194,5285,Michael Dahlquist,"Basic, simple - but it's good, and taught me a thing or two about making good thai (?) soup - never cooked with lemon grass, but it was yummy. Simple to make and wholesome and creamy without dairy, I'd forgotten the charms of coconut milk.",02/02/2001 00:32:50,02/02/2001 00:32:50
392,198,5519,amity bradley,"My boyfriend and i were very pleased with this recipe. he is half chinese so he knows the good stuff. the only thing we changed was the amount of chili paste. we only put one tablespoon instead of 2. the soup is very very spicy with 2 tblsp's. other than that it was great. the flavor is awesome. my boyfriend said that it tasted just like his mom's. that is a great compliment.
amity",02/02/2001 00:34:16,02/02/2001 00:34:16
411,1209,5643,Meadow Camacho,This dip was a big hit with my friends! I substituted mushrooms for artichoke hearts and it was absolutely delicous. Great heated up the next day too! YUM...,02/12/2001 21:47:15,02/12/2001 21:47:15
419,400,5686,Mariya Davis,"The dish is wonderful! It so easy to make, it takes 15-20 min :). Also I like to serve it with butter and sour cream. Everytime I cook Spaetzle my husband ask if there anything is left. Though, I always cook more. Try, and you''ll see how easy and delicious it is!",02/12/2001 22:00:43,02/12/2001 22:00:43
421,1229,5523,Dave C,This looks good. My grandkids will love me. thanks.  :>)),02/12/2001 22:01:12,02/12/2001 22:01:12
428,1232,5689,Berevaline Windsor,...,02/12/2001 22:17:06,02/12/2001 22:17:06
436,595,5790,jkru2229,"great receipe!!!!! my mother raised 7 kids with this one. she perked it up with a simple white sauce made with flour,milk,and butter,poured over right before serving.",02/12/2001 22:20:17,02/12/2001 22:20:17
438,611,5860,connie groncki,I'm lokking for a whipped cream Icing recipe.  Can you help me.connie,02/15/2001 18:43:03,02/15/2001 18:43:03
447,1266,5896,Amy Blum,"This recipe was very easy to make, and it turned out great! The cooking temperature was not specified, so I used 350 degrees. Also, I subbed low fat ricotta cheese for cottage cheese because I prefer the taste.",02/18/2001 18:17:04,02/18/2001 18:17:04
455,362,5975,Jehnna,"Way, way too lemony.  I ate about half of my meal and vowed never to eat anything with lemon in it again.  I marinated overnight...  Bad idea!  I imagine this recipe could be great with a little tweaking.",02/20/2001 15:22:28,02/20/2001 15:22:28
456,67,5974,Trinda Martin,"This pound cake makes a great base for Strawberry shortcake.
The recipe does NOT half well, however it does freeze well and handy to have on hand for a quick dessert.
Use quality bourbon for the best taste.  I recommend Labrot & Graham's Woodford Reserve if you want to keep a very fine bourbon on hand for cooking, baking and drinking.  ;-)",02/20/2001 15:22:56,02/20/2001 15:22:56
465,1559,6080,jagdish patel,"very good,easy to follow",02/26/2001 03:40:06,02/26/2001 03:40:06
475,350,5898,June Williams,"To David Cansler,  I would like your recipe please.  June Bug",02/28/2001 20:44:23,02/28/2001 20:44:23
477,1878,6164,Mini Ravindran,"Here is one more way of doing this and the same can also be used as an excellent 
accompaniment to any dish. 
Dice nearly 10-12 medium sized onions and keep aside. 
Take a half litre yoghurt container. 
Add half teaspoon salt and half teaspoon coriander powder to the same. 
Mix the ingredients well to get a smooth consistency. 
Now put the onions in this curd mixture.
Chop a bunch of green coriander leaves or parsley and add to this.
Leave it aside for 45 minutes for the flavours to set in.
Salt can be adjusted to individual preferences.
Enjoy with steamed rice, sandwiches, hot pita bread or even with pastas. 
This also goes well as a dip with fritters.

Hope you enjoy the same.
Smiles
Mini",03/01/2001 16:56:17,03/01/2001 16:56:17
481,319,6195,anna mansoor,"this is a great tasting soup , i made this for the family and it is awesome. i make it twice a week as a meal and as a starter. two fish heads up",03/03/2001 05:56:25,03/03/2001 05:56:25
483,451,4837,Debbie Elezi,I love these potaotoes! We always called them Grecian Patatoes. at any rate for a little extra effort these spuds are worh it! P.S. The Greek Lemon chicken is great also.,03/03/2001 05:56:43,03/03/2001 05:56:43
485,541,5620,Dennis McCauley,"As a professional chef, when I read recipes I usually can visualize the taste from the list of ingredients. This one, however, had me stumped. The recipe is dead easy and the results were surprisingly good. I would recommend this for a buffet at a party(with toothpicks for that 60's kitch feel). One adaptation I suggest is to increase the worcestershire and add cayenne or tabasco to taste, simmer the sauce without the meatballs, and barbecue some ribs using this as the barbecue sauce. Yum! Pass the cole slaw, please.",03/03/2001 15:30:30,03/03/2001 15:30:30
493,517,6233,Bob Stacy,"Exceptional!

Could not find any decent ground lamb today, so we made it with 1/2 lb each of lean ground beef, pork and veal - different taste from lamb, but truely outstanding.

GREAT Dinner Party meal",03/04/2001 18:59:24,03/04/2001 18:59:24
497,170,6127,Eva Mann,Our family found this recipe simply delicious and easy to make.,03/05/2001 23:17:59,03/05/2001 23:17:59
498,809,6245,Carmen Chan,"Mine came out really bitter.  Doesn't taste too good on its own, but lovely with herbed garlic butter.",03/05/2001 23:18:14,03/05/2001 23:18:14
499,664,6248,L Bolte,"Certainly edible, with a good taste.  However, is lasagna really meant to be cooked in the crockpot?  The noodles were 'mushy' and you don't get that crunchy top layer that you get when you cook it in a pan in the oven.  For the trouble, I'd skip the crockpot on this one.",03/05/2001 23:18:31,03/05/2001 23:18:31
509,1168,6359,fdg fdghdfgh,"i dunno i didnt eat it! or make it, for  that matter...",03/12/2001 18:02:34,03/12/2001 18:02:34
514,593,6313,madpots,"This recipe has been used in our family for many years.  My problem now is that I have trouble finding green tomatoes!

The recipe is very simple, but I salt and pepper the tomatoes a little and add a little white flour to the cornmeal.  My mother would sprinkle a little sugar - white or brown - on the tomato after she turned them.  When the sugar melts and is crusty the tomato is done.",03/12/2001 21:27:12,03/12/2001 21:27:12
527,480,6437,Chris Reed,Great!,03/14/2001 18:06:46,03/14/2001 18:06:46
530,501,6467,marie williams,"I tried this recipe because I had a similar recipe years ago that got misplaced. The cake was a big hit. I did not use the icing recipe here. M y old recipe had a different icing recipe so I used the following: 1/2 cup butter, 1/3 cup cocoa, 1 tbsp. vanilla, 1 lb. powdered sugar, and 1/4 cup milk.
Melt butter & cocoa together, add rest of ingredients. Spread over marshmallows(I used a jar of marshmallow creme). I did not mix together to resemble mud. Just spread chocolate on top of marshmallow creme and enjoy. Everyone loved it!!",03/14/2001 19:02:47,03/14/2001 19:02:47
534,506,5830,jenee mccaleb,This recipe is easy and my husband loved it.I t does make a lot though so be prepared.,03/16/2001 18:15:50,03/16/2001 18:15:50
538,304,5951,Amy Bradley,"Oh, sooooooooooooo delicious!!  Very simple to make . .  I always substitute fresh minced garlic (the kind that comes in the jar that you keep in the fridge) for whenever whole cloves are called for.  1/2 tsp. minced = 1 clove.  I will definitely make these again!",03/16/2001 18:15:50,03/16/2001 18:15:50
549,469,6614,L. J. Bryant,"This Irish Soda Bread was just like I got in Ireland every morning for breakfast!
It was great!
I think next time I make it I will add just a pinch of table salt. 

It was quick and easy to make and it went well with corned beef and cabage.  
This bead should also go great with the Beef Stew with Guinness Stout also a great recipe.",03/19/2001 17:41:23,03/19/2001 17:41:23
551,834,5135,Caprice Castano,"It was easy to make, had a great flavor, and my kids even liked it. I suggest more sauce than recipe calls for, because you will want to have it to spoon over burgers when served.",03/19/2001 17:41:23,03/19/2001 17:41:23
555,451,6705,Ted Chagaris,"An excellant recipe for Grecian potatoes!Thanks ,T",03/24/2001 15:25:42,03/24/2001 15:25:42
566,1809,6845,Calvin Staples,"This sounds to me very similar to a recipe tha I have used for many years.Mine also includes sliced mushrooms,sliced tomatoes and chopped bacon, leaving the bacon out to make it nicer for non meat-eaters.",03/24/2001 15:48:51,03/24/2001 15:48:51
573,619,7081,george mchugh,like the one i have had in res.,03/25/2001 22:48:41,03/25/2001 22:48:41
574,1267,7087,Robyn Shuda,I am always looking for good chinese recipes and this is one of them!  It is a must!,03/25/2001 22:48:41,03/25/2001 22:48:41
576,131,7096,Kathy Hutson,"Very, very good!  Suggestion -- this makes a smallish loaf, so set your bread machine to ""light,"" if possible, to prevent over-browning of crust.  Great flavor and texture!",03/25/2001 22:48:41,03/25/2001 22:48:41
582,1978,7145,cam Bentley,Easy to make and tastes great!,03/29/2001 23:11:32,03/29/2001 23:11:32
601,536,6702,Jennifer Michele,"The corn dog casserole tasted a lot like baked cornbread stuffing. I liked it and would eat it again, but it was a no go with the 10 year old. My four year old picked out the hot dogs but left most of the breading on her plate.
Also, it had to cook longer than indicated here. After 45 minutes it was done, so when you try the recipe, give yourself more time than stated.",04/02/2001 23:35:34,04/02/2001 23:35:34
624,1128,7279,Keith Lewis,"It took me about a week after registering on this site to try out one of the recipes.
This was it.  I had a feeling I would like it when I saw the name.  That feeling grew when
I saw the ingredients.  I underestimated just how good it would be.  This is probably the 
best chicken recipe I have ever made.  It was simple, smelled phenomenal while it was
baking, and had a perfect combination of sweet and spicy... one of my favorite flavor
combinations.  I made one substitution.  I used four boneless, skinless chicken breasts
instead of the six thighs (which I assumed had bones). I made the sauce just how it
was in the recipe... Phenomenal.",04/03/2001 21:24:28,04/03/2001 21:24:28
625,630,5349,D Martin,"This soup was delicious.  I did not add a blanched tomato but rather reduced the broth by 1 cup and added 10 ounces of canned diced tomatoes.
The parmasen cheese adds a great flavour. Oh so good!!!!!!!!",04/03/2001 21:24:28,04/03/2001 21:24:28
628,536,7697,Krystal Shankle1,"This was a huge let down for my family. I think if there was not as much sage, it might be ok. But not one single person in my family liked it. I don,t mean to be negative, but honestly, this dish was awful.",04/04/2001 22:51:29,04/04/2001 22:51:29
635,1069,7747,k c1944,Kids loved watching the crystal form! We added food colour to this recipe for fun.,04/05/2001 17:43:12,04/05/2001 17:43:12
647,1595,2962,m bucken,The recipe works well and is fairly flexable.  I have tried it without the lemon or with 4 chicken breasts instead of 3.,04/10/2001 00:51:57,04/10/2001 00:51:57
648,506,7407,Susan Scovill,Very Tasty!  I added peas and finely chopped carrot to add colour and vitamins.,04/10/2001 00:51:57,04/10/2001 00:51:57
650,605,7883,mark fitzpatrick,"being in a house hold of australian vegetarians it was neccessary to delete the meat from the menu.  this was their first time tring traditional british grub and they were all agreed to it's hidden delights.  i will certainly be using your recipes again, and hoipe to change the snobbish, ignorant attittudes of those who presume brittish food inferior.  thank you.",04/10/2001 00:51:58,04/10/2001 00:51:58
665,1303,8005,boardgirl148,"This was a terrific cheesecake!  I substituted coconut extract for the almond extract,
and I also added about half of a cup of graham cracker crumbs to the crust mixture.",04/10/2001 00:51:58,04/10/2001 00:51:58
668,542,7874,Victoria Cloud,We substituted Ritz cheddar crackers.  The kids loved it!  A keeper.,04/10/2001 00:51:59,04/10/2001 00:51:59
683,536,8208,Jill Willadsen,I like to make new dishes for potluck so I tried this recipe.  Everyone thought it was great and thought it was a fun and different kind of casserole.  You need to add Ketchup or BBQ sauce on the finished casserole to bring out the flavors - just like with corn dogs on a stick.,04/13/2001 22:58:13,04/13/2001 22:58:13
687,601,3657,sondra tanner,"Wonderful for any large party...change jello to any flavor, make a few ice cubes with some of the mixture and add any fruit to float in punch",04/13/2001 22:58:13,04/13/2001 22:58:13
692,316,6863,Douglas Gove,Dolmades just cant be made without avgalimino sauce as it just doesn't have the same flavor.Check out a good recipe and try it you'll see what I mean.,04/18/2001 14:53:26,04/18/2001 14:53:26
704,177,8053,Jason Meagher,"Yum -- well worth it! I added yogurt to the peanut sauce to make the paste instead of water and it was a big hit.

I served it with cool cucumbers in a yogurt-vinegar sauce (yogurt, vingegar, sugar) and some rice.",04/18/2001 14:53:27,04/18/2001 14:53:27
718,2086,3934,Sandy,This is wonderful. I made one batch for trial then had to make 15 more batches.Very easy and makes in just minutes.,04/23/2001 01:54:35,04/23/2001 01:54:35
723,632,8569,thelittlelady,"These muffins were quick and easy to make, and they were wonderful!  This is a recipe I will definitely make again!",04/23/2001 01:54:36,04/23/2001 01:54:36
728,83,8602,barbe saint john,"Absolutely perfect and delicious, just like what I ate while living in England!",04/23/2001 01:54:36,04/23/2001 01:54:36
737,242,8580,Pearlgirl,"""Any"" Muffin

What a great idea....will let you know how my banana muffins turn out.

thanks",04/23/2001 02:25:00,04/23/2001 02:25:00
743,506,8172,Glynis Hartman,"I was definitely impressed.  Usually I feel the need to ""tweak"" most recipes.  This one was fine, as is.  I served it with a tossed salad and home-made garlic bread.  Even my picky kids liked it.  It does make a large amount.  Enough for at least two meals for the four of us.",04/24/2001 22:07:31,04/24/2001 22:07:31
745,1580,8681,Carrie Huising,"Thank you, I have been looking for this type of recipe. We used to rool the dough into 2 rounds and add an almond filling between the layers!",04/24/2001 22:07:33,04/24/2001 22:07:33
749,330,8172,Glynis Hartman,Very easy to make.  Delicious!  I substituted green chiles for the salsa and I made my own chicken broth instead of using the canned.  Family wants me to make it again.  It's even better reheated!,04/25/2001 17:21:38,04/25/2001 17:21:38
757,479,8796,Michelle Blanton,"This is a cake that my Grandmother from South Carolina used to make for us when we were little. It is DELICIOUS!!!!  Not too sweet, this cake is perfect!",04/27/2001 18:20:13,04/27/2001 18:20:13
761,349,8805,Gary Myer,"I was planning to use the vanilla sauce just over a strawberry-rhubarb compote I had found
elsewhere on this site, but then I noticed that the directions do not tell me what to do with the 
beaten egg and 2 Tbsp. water (the last two ingredients).  ""Reheat, [should it read 'swirl in the
and water mixture into the'] vanilla sauce and stir"" ?
Hope you can correct this oversight!",04/27/2001 18:20:13,04/27/2001 18:20:13
771,1128,8679,patty mcnamara,"I made this with breasts as well.  I left the skin on (removing any excess fat) to avoid drying it out too much.  It was great.  I served it to my family and they all loved it.  The left overs were even better the next day.  Very easy, quick preparation and looks lovely served with saffron rice and fresh green beans.  A great company dish.",04/29/2001 17:18:34,04/29/2001 17:18:34
774,249,8936,Michelle Croasmun,this was a great recipe. You can also substitute the pita bread with a soft tortilla wrap or even just crackers.   Also you can substitute the lemon-pepper with garlic pepper.,05/01/2001 15:33:40,05/01/2001 15:33:40
776,893,8938,Barbara Jones,My family is from Maryland and always made this pie.  My aunt who passed away was a great white potato pie maker but never told us the full ingredients for her pie.  This one is great!,05/01/2001 15:33:41,05/01/2001 15:33:41
802,2066,9105,Karen Sharp,"A good quick recipe.
Great with additional ingredients also.",05/07/2001 17:24:30,05/07/2001 17:24:30
